flight_num,distance_miles,distance_category
1111,4962,IDT
1112,4962,IDT
1113,3466,IDT
1114,2475,IDT
1115,2475,IDT
1116,2556,IDT
1117,1745,SDT
1118,719,SDT
1119,862,SDT
1120,3365,IDT
1122,4300,IDT
1123,2232,IDT
1124,2445,IDT
1125,2000,SDT
1126,1700,SDT
1127,1900,SDT
1128,2450,IDT
1129,2222,IDT
1130,3134,IDT
1131,2425,IDT
1132,1242,SDT
1133,2354,IDT
1134,1575,SDT
1135,2425,IDT
1136,1311,SDT
1137,578,SDT
1138,246,SDT
1139,909,SDT
1140,780,SDT
1141,660,SDT
1142,246,SDT
1143,1345,SDT
1144,2452,IDT
1145,2121,IDT
1146,1212,SDT
1147,999,SDT
1148,1111,SDT
1149,1579,SDT
1150,909,SDT
1151,898,SDT
1152,890,SDT
1153,8989,LDT
1154,7676,LDT
1155,676,SDT
1156,8668,LDT
1157,675,SDT
1158,5645,IDT
1159,4533,IDT
1160,2445,IDT
